Company,quantity
DMMO3,509685000
DMVF3,50603000
DOCA3,1159040
DOCA4,1159040
DOHL3,75645000
DOHL4,75645000
DOTZ3,132068000
DPPI3,32000000
DPPI4,32000000
DSUL3,28975000
DTCY3,11131000
DUFB11,6954000
DUQE3,2816000
DUQE4,2816000
DURA3,126695000
DURA4,126695000
DXCO3,760963000
DXTG4,274810000
EALT3,22500000
EALT4,22500000
EBCO3,664727000
EBCO4,664727000
EBEN4,39091700000
EBTP3,1231360000000
EBTP4,1231360000000
ECIS3,0
ECIS4,0
ECOR3,696334000
ECPR3,1900000
ECPR4,1900000
EEEL3,9658000
EEEL4,9658000
EGIE3,815928000
EKTR3,193759000
EKTR4,193759000
ELCA3,2110320000
ELCA4,2110320000
ELEK3,31485000
ELEK4,31485000
ELET3,1568930000
ELET5,1568930000
ELET6,1568930000
ELEV3,64830000
ELMD3,139984000
ELPL3,197467000
ELPL4,197467000
ELPL5,197467000
ELPL6,197467000
ELUM3,18433000
ELUM4,18433000
EMAE4,36947000
EMBR3,740465000
ENAT3,265807000
ENBR3,581165000
ENER3,647000
ENER5,647000
ENER6,647000
ENEV3,1283340000
ENGI11,1814560000
ENGI3,1814560000
ENGI4,1814560000
ENJU3,197856000
ENMT3,218942000
ENMT4,218942000
EPAR3,14861000
EPAR4,14861000
EQMA3B,164184000
EQMA5B,164184000
EQMA6B,164184000
EQPA3,2209070000
EQPA5,2209070000
EQPA6,2209070000
EQPA7,2209070000
EQTL3,1128930000
ESCE3,5876000
ESPA3,244236000
ESTC11,309089000
ESTC4,309089000
ESTR3,808000
ESTR4,808000
ETER3,61777000
ETER4,61777000
EUCA3,92619000
EUCA4,92619000
EVEN3,212000000
EZTC3,227000000
FBMC3,727000
FBMC4,727000
FBRA4,10264000
FCAP3,19446000
FCAP4,19446000
FESA3,88320000
FESA4,88320000
FFTL3,566033000
FFTL4,566033000
FGUI3,39772700000
FGUI4,39772700000
FHER3,53857000
FIBR3,553734000
FIGE3,2364000
FIGE4,2364000
FIQE3,362050000
FLCL3,450713000000
FLCL5,450713000000
FLCL6,450713000000
FLRY3,317944000
FRAS3,217566000
FRAS4,217566000
FRIO3,4107000
FRTA3,2053610
FTRX3,23827000
FTRX4,23827000
GAFP3,9882000
GAFP4,9882000
GALO3,0
GALO4,0
GAZO3,1457000
GAZO4,1457000
GBIO33,0
GEPA3,94433000
GEPA4,94433000
GETI3,381253000
GETI4,381253000
GETT3,1866720000
GETT4,1866720000
GFSA3,337446000
GGBR3,1719660000
GGBR4,1719660000
GGPS3,667491000
GLOB4,1598430000
GMAT3,2209350000
GNDI3,620261000
GOAU3,1087240000
GOAU4,1087240000
GOLL4,396181000
GPAR3,77928000
GPIV33,109746000
GRND3,902160000
GRNL4,212890000
GSHP3,1928770
GUAR3,499200000
GUAR4,499200000
GVTT3,137246000
HAGA3,11900000
HAGA4,11900000
HAPV3,7142380000
HBOR3,133851000
HBRE3,103189000
HBSA3,760383000
HBTS5,9133690
HETA3,510000
HETA4,510000
HGTX3,162534000
HGTX4,162534000
HOOT4,18372000
HYPE3,633421000
ICPI3,0
IDVL11,102822000
IDVL3,102822000
IDVL4,102822000
IENG3,344209000
IENG5,344209000
IFCM3,281636000
IGBR3,1250000
IGBR5,1250000
IGBR6,1250000
IGTA3,176612000
IGTI11,1848760000
IGTI3,1848760000
IGUA3,29053000
IGUA5,29053000
IGUA6,29053000
ILLS4,0
ILMD3,59667000
ILMD4,59667000
IMBI3,35029000
IMBI4,35029000
IMCH3,84483000
INEP3,174114000
INEP4,174114000
INHA3,337446000
INTB3,327611000
IRBR3,1267890000
ITEC3,11072000
ITSA3,8831360000
ITSA4,8831360000
ITUB3,9804140000
ITUB4,9804140000
IVTT3,62141400
JALL3,294697000
JBDU3,20077000
JBSS3,2373870000
JFAB4,0
JFEN3,105204000
JHSF3,686224000
JOPA3,10582000
JOPA4,10582000
JPSA3,117021000
JSLG3,286431000
KEPL3,29953000
KLBN11,5617890000
KLBN3,5617890000
KLBN4,5617890000
KROT11,1876610000
KROT4,1876610000
KRSA3,767223000
KSSA3,145706000
LAME3,1883010000
LAME4,1883010000
LAND3,96227000
LATM11,6437000
LATS3,0
LAVV3,208191000
LCAM3,508729000
LCSA3,2453260000
LCSA4,2453260000
LECO3,145000000
LECO4,145000000
LETO3,4003950000
LETO5,4003950000
LEVE3,128309000
LEVE4,128309000
LFFE3,54380000
LFFE4,54380000
LGLO4,34000
LIGH3,392849000000
LIGT3,372555000
LINX3,189409000
LIPR3,11765000
